city,state,country_code
Abohar ,Punjab,IN
Achalpur ,Maharashtra,IN
Adilabad ,Andhra Pradesh,IN
Adityapur ,Jharkhand,IN
Adoni ,Andhra Pradesh,IN
Agartala ,Tripura,IN
Agra ,Uttar Pradesh,IN
Ahmadabad ,Gujarat,IN
Ahmadnagar ,Maharashtra,IN
Aizawl ,Mizoram,IN
Ajmer ,Rajasthan,IN
Akbarpur ,Uttar Pradesh,IN
Akola ,Maharashtra,IN
Alandur ,Tamil Nadu,IN
Alappuzha ,Kerala,IN
Aligarh ,Uttar Pradesh,IN
Allahabad ,Uttar Pradesh,IN
Alwar ,Rajasthan,IN
Ambala ,Haryana,IN
Ambala Sadar ,Haryana,IN
Ambarnath ,Maharashtra,IN
Ambattur ,Tamil Nadu,IN
Ambikapur ,Chhattisgarh,IN
Ambur ,Tamil Nadu,IN
Amravati ,Maharashtra,IN
Amreli ,Gujarat,IN
Amritsar ,Punjab,IN
Amroha ,Uttar Pradesh,IN
Anand ,Gujarat,IN
Anantapur ,Andhra Pradesh,IN
Anantnag ,Jammu & Kashmir,IN
Arrah ,Bihar,IN
Asansol ,West Bengal,IN
Ashoknagar Kalyangarh ,West Bengal,IN
Aurangabad ,Bihar,IN
Aurangabad ,Maharashtra,IN
Avadi ,Tamil Nadu,IN
Azamgarh ,Uttar Pradesh,IN
Badlapur ,Maharashtra,IN
Bagaha ,Bihar,IN
Bagalkot ,Karnataka,IN
Bahadurgarh ,Haryana,IN
Baharampur ,West Bengal,IN
Bahraich ,Uttar Pradesh,IN
Baidyabati ,West Bengal,IN
Baleshwar Town ,Orissa,IN
Ballia ,Uttar Pradesh,IN
Bally ,West Bengal,IN
Bally City,West Bengal,IN
Balurghat ,West Bengal,IN
Banda ,Uttar Pradesh,IN
Bankura ,West Bengal,IN
Bansberia ,West Bengal,IN
Banswara ,Rajasthan,IN
Baran ,Rajasthan,IN
Baranagar ,West Bengal,IN
Barasat ,West Bengal,IN
Baraut ,Uttar Pradesh,IN
Barddhaman ,West Bengal,IN
Bareilly ,Uttar Pradesh,IN
Baripada Town ,Orissa,IN
Barnala ,Punjab,IN
Barrackpur ,West Bengal,IN
Barshi ,Maharashtra,IN
Basirhat ,West Bengal,IN
Basti ,Uttar Pradesh,IN
Batala ,Punjab,IN
Bathinda ,Punjab,IN
Beawar ,Rajasthan,IN
Begusarai ,Bihar,IN
Belgaum ,Karnataka,IN
Bellary ,Karnataka,IN
Bengaluru,Karnataka,IN
Bettiah ,Bihar,IN
Betul ,Madhya Pradesh,IN
Bhadrak ,Orissa,IN
Bhadravati ,Karnataka,IN
Bhadreswar ,West Bengal,IN
Bhagalpur ,Bihar,IN
Bhalswa Jahangir Pur ,Nct Of Delhi,IN
Bharatpur ,Rajasthan,IN
Bharuch ,Gujarat,IN
Bhatpara ,West Bengal,IN
Bhavnagar ,Gujarat,IN
Bhilai Nagar ,Chhattisgarh,IN
Bhilwara ,Rajasthan,IN
Bhimavaram ,Andhra Pradesh,IN
Bhind ,Madhya Pradesh,IN
Bhiwadi ,Rajasthan,IN
Bhiwandi ,Maharashtra,IN
Bhiwani ,Haryana,IN
Bhopal ,Madhya Pradesh,IN
Bhubaneswar Town ,Orissa,IN
Bhuj ,Gujarat,IN
Bhusawal ,Maharashtra,IN
Bid ,Maharashtra,IN
Bidar ,Karnataka,IN
Bidhan Nagar ,West Bengal,IN
Biharsharif ,Bihar,IN
Bijapur ,Karnataka,IN
Bikaner ,Rajasthan,IN
Bilaspur ,Chhattisgarh,IN
Bokaro Steel City ,Jharkhand,IN
Bongaon ,West Bengal,IN
Botad ,Gujarat,IN
Brahmapur Town ,Orissa,IN
Budaun ,Uttar Pradesh,IN
Bulandshahr ,Uttar Pradesh,IN
Bundi ,Rajasthan,IN
Burari ,Nct Of Delhi,IN
Burhanpur ,Madhya Pradesh,IN
Buxar ,Bihar,IN
Champdani ,West Bengal,IN
Chandannagar ,West Bengal,IN
Chandausi ,Uttar Pradesh,IN
Chandigarh ,Chandigarh,IN
Chandrapur ,Maharashtra,IN
Chapra ,Bihar,IN
Chas ,Jharkhand,IN
Chennai ,Tamil Nadu,IN
Chhattarpur ,Madhya Pradesh,IN
Chhindwara ,Madhya Pradesh,IN
Chikmagalur ,Karnataka,IN
Chilakaluripet ,Andhra Pradesh,IN
Chitradurga ,Karnataka,IN
Chittaurgarh ,Rajasthan,IN
Chittoor ,Andhra Pradesh,IN
Churu ,Rajasthan,IN
Coimbatore ,Tamil Nadu,IN
Cuddalore ,Tamil Nadu,IN
Cuttack ,Orissa,IN
Dabgram ,West Bengal,IN
Dallo Pura ,Nct Of Delhi,IN
Damoh ,Madhya Pradesh,IN
Darbhanga ,Bihar,IN
Darjiling ,West Bengal,IN
Datia ,Madhya Pradesh,IN
Davanagere ,Karnataka,IN
Deesa ,Gujarat,IN
Dehradun ,Uttarakhand,IN
Dehri ,Bihar,IN
Delhi ,Nct Of Delhi,IN
Delhi Cantonment ,Nct Of Delhi,IN
Deoghar ,Jharkhand,IN
Deoli ,Nct Of Delhi,IN
Deoria ,Uttar Pradesh,IN
Dewas ,Madhya Pradesh,IN
Dhanbad ,Jharkhand,IN
Dharmavaram ,Andhra Pradesh,IN
Dhaulpur ,Rajasthan,IN
Dhule ,Maharashtra,IN
Dibrugarh ,Assam,IN
Dimapur ,Nagaland,IN
Dinapur Nizamat ,Bihar,IN
Dindigul ,Tamil Nadu,IN
Dum Dum ,West Bengal,IN
Durg ,Chhattisgarh,IN
Durgapur ,West Bengal,IN
Eluru ,Andhra Pradesh,IN
English Bazar ,West Bengal,IN
Erode ,Tamil Nadu,IN
Etah ,Uttar Pradesh,IN
Etawah ,Uttar Pradesh,IN
Faizabad ,Uttar Pradesh,IN
Faridabad ,Haryana,IN
Farrukhabad-cum-Fatehgarh ,Uttar Pradesh,IN
Fatehpur ,Uttar Pradesh,IN
Firozabad ,Uttar Pradesh,IN
Firozpur ,Punjab,IN
Gadag-Betigeri ,Karnataka,IN
Gandhidham ,Gujarat,IN
Gandhinagar ,Gujarat,IN
Ganganagar ,Rajasthan,IN
Gangapur City ,Rajasthan,IN
Gangawati ,Karnataka,IN
Gaya ,Bihar,IN
Ghazipur ,Uttar Pradesh,IN
Giridih ,Jharkhand,IN
Godhra ,Gujarat,IN
Gokal Pur ,Nct Of Delhi,IN
Gonda ,Uttar Pradesh,IN
Gondal ,Gujarat,IN
Gondiya ,Maharashtra,IN
Gorakhpur ,Uttar Pradesh,IN
Greater Hyderabad ,Andhra Pradesh,IN
Greater Mumbai ,Maharashtra,IN
Greater Noida ,Uttar Pradesh,IN
Gudivada ,Andhra Pradesh,IN
Gulbarga ,Karnataka,IN
Guna ,Madhya Pradesh,IN
Guntakal ,Andhra Pradesh,IN
Guntur ,Andhra Pradesh,IN
Gurgaon ,Haryana,IN
Guwahati ,Assam,IN
Gwalior ,Madhya Pradesh,IN
Habra ,West Bengal,IN
Hajipur ,Bihar,IN
Haldia ,West Bengal,IN
Haldwani-cum-Kathgodam ,Uttarakhand,IN
Halisahar ,West Bengal,IN
Hanumangarh ,Rajasthan,IN
Haora ,West Bengal,IN
Hapur ,Uttar Pradesh,IN
Hardoi ,Uttar Pradesh,IN
Hardwar ,Uttarakhand,IN
Hassan ,Karnataka,IN
Hastsal ,Nct Of Delhi,IN
Hathras ,Uttar Pradesh,IN
Hazaribag ,Jharkhand,IN
Hindaun ,Rajasthan,IN
Hindupur ,Andhra Pradesh,IN
Hinganghat ,Maharashtra,IN
Hisar ,Haryana,IN
Hoshangabad ,Madhya Pradesh,IN
Hoshiarpur ,Punjab,IN
Hospet ,Karnataka,IN
Hosur ,Tamil Nadu,IN
Hubli-Dharwad ,Karnataka,IN
Hugli-Chinsurah ,West Bengal,IN
Ichalkaranji ,Maharashtra,IN
Imphal ,Manipur ,IN
Indore ,Madhya Pradesh,IN
Jabalpur ,Madhya Pradesh,IN
Jagadhri ,Haryana,IN
Jagdalpur ,Chhattisgarh,IN
Jaipur ,Rajasthan,IN
Jalandhar ,Punjab,IN
Jalgaon ,Maharashtra,IN
Jalna ,Maharashtra,IN
Jalpaiguri ,West Bengal,IN
Jamalpur ,Bihar,IN
Jammu ,Jammu & Kashmir,IN
Jamnagar ,Gujarat,IN
Jamshedpur ,Jharkhand,IN
Jamuria ,West Bengal,IN
Jaunpur ,Uttar Pradesh,IN
Jehanabad ,Bihar,IN
Jetpur Navagadh ,Gujarat,IN
Jhansi ,Uttar Pradesh,IN
Jhunjhunun ,Rajasthan,IN
Jind ,Haryana,IN
Jodhpur ,Rajasthan,IN
Junagadh ,Gujarat,IN
Kadapa ,Andhra Pradesh,IN
Kaithal ,Haryana,IN
Kakinada ,Andhra Pradesh,IN
Kalol ,Gujarat,IN
Kalyani ,West Bengal,IN
Kamarhati ,West Bengal,IN
Kancheepuram ,Tamil Nadu,IN
Kanchrapara ,West Bengal,IN
Kanpur ,Uttar Pradesh,IN
Kanpur City,Uttar Pradesh,IN
Karaikkudi ,Tamil Nadu,IN
Karawal Nagar ,Nct Of Delhi,IN
Karimnagar ,Andhra Pradesh,IN
Karnal ,Haryana,IN
Kasganj ,Uttar Pradesh,IN
Kashipur ,Uttarakhand,IN
Katihar ,Bihar,IN
Khammam ,Andhra Pradesh,IN
Khandwa ,Madhya Pradesh,IN
Khanna ,Punjab,IN
Kharagpur ,West Bengal,IN
Khardaha ,West Bengal,IN
Khargone ,Madhya Pradesh,IN
Khora ,Uttar Pradesh,IN
Khurja ,Uttar Pradesh,IN
Kirari Suleman Nagar ,Nct Of Delhi,IN
Kishanganj ,Bihar,IN
Kishangarh ,Rajasthan,IN
Kochi ,Kerala,IN
Kolar ,Karnataka,IN
Kolhapur ,Maharashtra,IN
Kolkata ,West Bengal,IN
Kollam ,Kerala,IN
Korba ,Chhattisgarh,IN
Kota ,Rajasthan,IN
Kozhikode ,Kerala,IN
Krishnanagar ,West Bengal,IN
Kulti ,West Bengal,IN
Kumbakonam ,Tamil Nadu,IN
Kurichi ,Tamil Nadu,IN
Kurnool ,Andhra Pradesh,IN
Lakhimpur ,Uttar Pradesh,IN
Lalitpur ,Uttar Pradesh,IN
Latur ,Maharashtra,IN
Loni ,Uttar Pradesh,IN
Lucknow ,Uttar Pradesh,IN
Ludhiana ,Punjab,IN
Machilipatnam ,Andhra Pradesh,IN
Madanapalle ,Andhra Pradesh,IN
Madavaram ,Tamil Nadu,IN
Madhyamgram ,West Bengal,IN
Madurai ,Tamil Nadu,IN
Mahbubnagar ,Andhra Pradesh,IN
Mahesana ,Gujarat,IN
Maheshtala ,West Bengal,IN
Mainpuri ,Uttar Pradesh,IN
Malegaon ,Maharashtra,IN
Malerkotla ,Punjab,IN
Mandoli ,Nct Of Delhi,IN
Mandsaur ,Madhya Pradesh,IN
Mandya ,Karnataka,IN
Mangalore ,Karnataka,IN
Mango ,Jharkhand,IN
Mathura ,Uttar Pradesh,IN
Maunath Bhanjan ,Uttar Pradesh,IN
Medinipur ,West Bengal,IN
Meerut ,Uttar Pradesh,IN
Mira Bhayander ,Maharashtra,IN
Miryalaguda ,Andhra Pradesh,IN
Mirzapur-cum-Vindhyachal ,Uttar Pradesh,IN
Modinagar ,Uttar Pradesh,IN
Moga ,Punjab,IN
Moradabad ,Uttar Pradesh,IN
Morena ,Madhya Pradesh,IN
Morvi ,Gujarat,IN
Motihari ,Bihar,IN
Mughalsarai ,Uttar Pradesh,IN
Muktsar ,Punjab,IN
Munger ,Bihar,IN
Murwara ,Madhya Pradesh,IN
Mustafabad ,Nct Of Delhi,IN
Muzaffarnagar ,Uttar Pradesh,IN
Muzaffarpur ,Bihar,IN
Mysore ,Karnataka,IN
Nabadwip ,West Bengal,IN
Nadiad ,Gujarat,IN
Nagaon ,Assam,IN
Nagapattinam ,Tamil Nadu,IN
Nagaur ,Rajasthan,IN
Nagda ,Madhya Pradesh,IN
Nagercoil ,Tamil Nadu,IN
Nagpur ,Maharashtra,IN
Naihati ,West Bengal,IN
