                     state                     , country_code , state_abbrev ,       zone        , gst_state_code , alpha_code , state_hi , for_gst 
Andhra Pradesh,IN,,,,,,
Arunachal Pradesh,IN,,,,,,
Assam,IN,,,,,,
Bihar,IN,,,,,,
Chhattisgarh,IN,,,,,,
Delhi,IN,,,,,,
Goa,IN,,,,,,
Gujarat,IN,,,,,,
Haryana,IN,,,,,,
Himachal Pradesh,IN,,,,,,
Jammu & Kashmir,IN,,,,,,
Jharkhand,IN,,,,,,
Karnataka,IN,,,,,,
Kerala,IN,,,,,,
Maharashtra,IN,,,,,,
Madhya Pradesh,IN,,,,,,
Manipur,IN,,,,,,
Meghalaya,IN,,,,,,
Mizoram,IN,,,,,,
Nagaland,IN,,,,,,
Odisha,IN,,,,,,
Punjab,IN,,,,,,
Rajasthan,IN,,,,,,
Sikkim,IN,,,,,,
Tamil Nadu,IN,,,,,,
Tripura,IN,,,,,,
Telangana,IN,,,,,,
Uttar Pradesh,IN,,,,,,
Uttarakhand,IN,,,,,,
West Bengal,IN,,,,,,
Andaman & Nicobar (UT),IN,,,,,,
Chandigarh (UT),IN,,,,,,
Dadra & Nagar Haveli (UT),IN,,,,,,
Daman & Diu (UT),IN,,,,,,
Lakshadweep (UT),IN,,,,,,
Puducherry (UT),IN,,,,,,
